male,eth,age,income,state,N
0,1,3,3,11,31699
0,1,3,3,12,29776
0,1,3,3,13,42862
0,1,3,3,14,30879
0,1,3,3,15,37969
0,1,3,3,16,37266
0,1,3,3,17,47917
0,1,3,3,18,27236
0,1,3,3,19,30863
0,1,3,3,20,27834
0,1,3,3,21,27105
0,1,3,3,22,28160
0,1,3,3,23,26555
0,1,3,3,24,36940
0,1,3,3,25,51397
0,1,3,3,26,41876
0,1,3,3,27,44262
0,1,3,3,28,45844
0,1,3,3,29,48198
0,1,3,3,30,26930
0,1,3,3,31,39964
0,1,3,3,32,43541
0,1,3,3,33,50441
0,1,3,3,34,31829
0,1,3,3,35,38493
0,1,3,3,36,33090
0,1,3,3,37,28034
0,1,3,3,38,39889
0,1,3,3,39,45074
0,1,3,3,40,47771
0,1,3,3,41,31583
0,1,3,3,42,29445
0,1,3,3,43,30088
0,1,3,3,44,50712
0,1,3,3,45,42754
0,1,3,3,46,38805
0,1,3,3,47,32144
0,1,3,3,48,48208
0,1,3,3,49,44612
0,1,3,3,50,49557
0,1,4,1,1,115478
0,1,4,1,2,107781
0,1,4,1,3,131774
0,1,4,1,4,146933
0,1,4,1,5,161459
0,1,4,1,6,174168
0,1,4,1,7,156816
0,1,4,1,8,169680
0,1,4,1,9,150746
0,1,4,1,10,126487
0,1,4,1,11,105663
0,1,4,1,12,99254
0,1,4,1,13,142874
0,1,4,1,14,102931
0,1,4,1,15,126563
0,1,4,1,16,124220
0,1,4,1,17,159724
0,1,4,1,18,90786
0,1,4,1,19,102876
0,1,4,1,20,92780
0,1,4,1,21,90351
0,1,4,1,22,93865
0,1,4,1,23,88518
0,1,4,1,24,123132
0,1,4,1,25,171323
0,1,4,1,26,139587
0,1,4,1,27,147539
0,1,4,1,28,152813
0,1,4,1,29,160660
0,1,4,1,30,89767
0,1,4,1,31,133213
0,1,4,1,32,145137
0,1,4,1,33,168135
0,1,4,1,34,106098
0,1,4,1,35,128310
0,1,4,1,36,110300
0,1,4,1,37,93446
0,1,4,1,38,132965
0,1,4,1,39,150246
0,1,4,1,40,159238
0,1,4,1,41,105276
0,1,4,1,42,98149
0,1,4,1,43,100295
0,1,4,1,44,169040
0,1,4,1,45,142515
0,1,4,1,46,129351
0,1,4,1,47,107148
0,1,4,1,48,160693
0,1,4,1,49,148707
0,1,4,1,50,165190
0,1,4,2,1,80835
0,1,4,2,2,75447
0,1,4,2,3,92241
0,1,4,2,4,102853
0,1,4,2,5,113021
0,1,4,2,6,121918
0,1,4,2,7,109771
0,1,4,2,8,118776
0,1,4,2,9,105522
0,1,4,2,10,88541
0,1,4,2,11,73964
0,1,4,2,12,69478
0,1,4,2,13,100012
0,1,4,2,14,72051
0,1,4,2,15,88594
0,1,4,2,16,86954
0,1,4,2,17,111807
0,1,4,2,18,63550
0,1,4,2,19,72013
0,1,4,2,20,64946
0,1,4,2,21,63246
0,1,4,2,22,65706
0,1,4,2,23,61962
0,1,4,2,24,86192
0,1,4,2,25,119926
0,1,4,2,26,97711
0,1,4,2,27,103277
0,1,4,2,28,106969
0,1,4,2,29,112462
0,1,4,2,30,62837
0,1,4,2,31,93249
0,1,4,2,32,101596
0,1,4,2,33,117695
0,1,4,2,34,74268
0,1,4,2,35,89817
0,1,4,2,36,77210
0,1,4,2,37,65412
0,1,4,2,38,93075
0,1,4,2,39,105172
0,1,4,2,40,111466
0,1,4,2,41,73693
0,1,4,2,42,68704
0,1,4,2,43,70206
0,1,4,2,44,118328
0,1,4,2,45,99760
0,1,4,2,46,90546
0,1,4,2,47,75004
0,1,4,2,48,112485
0,1,4,2,49,104095
0,1,4,2,50,115633
0,1,4,3,1,34643
0,1,4,3,2,32334
0,1,4,3,3,39532
0,1,4,3,4,44080
0,1,4,3,5,48438
0,1,4,3,6,52250
0,1,4,3,7,47045
0,1,4,3,8,50904
0,1,4,3,9,45224
0,1,4,3,10,37946
0,1,4,3,11,31699
0,1,4,3,12,29776
0,1,4,3,13,42862
0,1,4,3,14,30879
0,1,4,3,15,37969
0,1,4,3,16,37266
0,1,4,3,17,47917
0,1,4,3,18,27236
0,1,4,3,19,30863
0,1,4,3,20,27834
0,1,4,3,21,27105
0,1,4,3,22,28160
0,1,4,3,23,26555
0,1,4,3,24,36940
0,1,4,3,25,51397
0,1,4,3,26,41876
0,1,4,3,27,44262
0,1,4,3,28,45844
0,1,4,3,29,48198
0,1,4,3,30,26930
0,1,4,3,31,39964
0,1,4,3,32,43541
0,1,4,3,33,50441
0,1,4,3,34,31829
0,1,4,3,35,38493
0,1,4,3,36,33090
0,1,4,3,37,28034
0,1,4,3,38,39889
0,1,4,3,39,45074
0,1,4,3,40,47771
0,1,4,3,41,31583
0,1,4,3,42,29445
0,1,4,3,43,30088
0,1,4,3,44,50712
0,1,4,3,45,42754
0,1,4,3,46,38805
0,1,4,3,47,32144
0,1,4,3,48,48208
0,1,4,3,49,44612
0,1,4,3,50,49557
0,1,5,1,1,57739
0,1,5,1,2,53891
0,1,5,1,3,65887
0,1,5,1,4,73467
0,1,5,1,5,80729
0,1,5,1,6,87084
0,1,5,1,7,78408
0,1,5,1,8,84840
0,1,5,1,9,75373
0,1,5,1,10,63243
0,1,5,1,11,52831
0,1,5,1,12,49627
0,1,5,1,13,71437
0,1,5,1,14,51465
0,1,5,1,15,63282
0,1,5,1,16,62110
0,1,5,1,17,79862
0,1,5,1,18,45393
0,1,5,1,19,51438
0,1,5,1,20,46390
0,1,5,1,21,45176
0,1,5,1,22,46933
0,1,5,1,23,44259
0,1,5,1,24,61566
0,1,5,1,25,85661
0,1,5,1,26,69794
0,1,5,1,27,73769
0,1,5,1,28,76406
0,1,5,1,29,80330
0,1,5,1,30,44883
0,1,5,1,31,66606
0,1,5,1,32,72569
0,1,5,1,33,84068
0,1,5,1,34,53049
0,1,5,1,35,64155
0,1,5,1,36,55150
0,1,5,1,37,46723
0,1,5,1,38,66482
0,1,5,1,39,75123
0,1,5,1,40,79619
0,1,5,1,41,52638
0,1,5,1,42,49075
0,1,5,1,43,50147
0,1,5,1,44,84520
0,1,5,1,45,71257
0,1,5,1,46,64676
0,1,5,1,47,53574
0,1,5,1,48,80347
0,1,5,1,49,74354
0,1,5,1,50,82595
0,1,5,2,1,40417
0,1,5,2,2,37723
0,1,5,2,3,46121
0,1,5,2,4,51427
0,1,5,2,5,56511
0,1,5,2,6,60959
0,1,5,2,7,54886
0,1,5,2,8,59388
0,1,5,2,9,52761
0,1,5,2,10,44270
0,1,5,2,11,36982
0,1,5,2,12,34739
0,1,5,2,13,50006
0,1,5,2,14,36026
0,1,5,2,15,44297
0,1,5,2,16,43477
0,1,5,2,17,55903
0,1,5,2,18,31775
0,1,5,2,19,36007
0,1,5,2,20,32473
0,1,5,2,21,31623
0,1,5,2,22,32853
0,1,5,2,23,30981
0,1,5,2,24,43096
0,1,5,2,25,59963
0,1,5,2,26,48856
0,1,5,2,27,51639
0,1,5,2,28,53484
0,1,5,2,29,56231
0,1,5,2,30,31418
0,1,5,2,31,46625
0,1,5,2,32,50798
0,1,5,2,33,58847
0,1,5,2,34,37134
0,1,5,2,35,44908
0,1,5,2,36,38605
0,1,5,2,37,32706
0,1,5,2,38,46538
0,1,5,2,39,52586
0,1,5,2,40,55733
0,1,5,2,41,36847
0,1,5,2,42,34352
0,1,5,2,43,35103
0,1,5,2,44,59164
0,1,5,2,45,49880
0,1,5,2,46,45273
0,1,5,2,47,37502
0,1,5,2,48,56243
0,1,5,2,49,52048
0,1,5,2,50,57817
0,1,5,3,1,17322
0,1,5,3,2,16167
0,1,5,3,3,19766
0,1,5,3,4,22040
0,1,5,3,5,24219
0,1,5,3,6,26125
0,1,5,3,7,23522
0,1,5,3,8,25452
0,1,5,3,9,22612
0,1,5,3,10,18973
0,1,5,3,11,15849
0,1,5,3,12,14888
0,1,5,3,13,21431
0,1,5,3,14,15440
0,1,5,3,15,18985
0,1,5,3,16,18633
0,1,5,3,17,23959
0,1,5,3,18,13618
0,1,5,3,19,15431
0,1,5,3,20,13917
0,1,5,3,21,13553
0,1,5,3,22,14080
0,1,5,3,23,13278
0,1,5,3,24,18470
0,1,5,3,25,25698
0,1,5,3,26,20938
0,1,5,3,27,22131
0,1,5,3,28,22922
0,1,5,3,29,24099
0,1,5,3,30,13465
0,1,5,3,31,19982
0,1,5,3,32,21771
0,1,5,3,33,25220
0,1,5,3,34,15915
0,1,5,3,35,19246
0,1,5,3,36,16545
0,1,5,3,37,14017
0,1,5,3,38,19945
0,1,5,3,39,22537
0,1,5,3,40,23886
0,1,5,3,41,15791
0,1,5,3,42,14722
0,1,5,3,43,15044
0,1,5,3,44,25356
0,1,5,3,45,21377
0,1,5,3,46,19403
0,1,5,3,47,16072
0,1,5,3,48,24104
0,1,5,3,49,22306
0,1,5,3,50,24779
0,1,6,1,1,57739
0,1,6,1,2,53891
0,1,6,1,3,65887
0,1,6,1,4,73467
0,1,6,1,5,80729
0,1,6,1,6,87084
0,1,6,1,7,78408
0,1,6,1,8,84840
0,1,6,1,9,75373
0,1,6,1,10,63243
0,1,6,1,11,52831
0,1,6,1,12,49627
0,1,6,1,13,71437
0,1,6,1,14,51465
0,1,6,1,15,63282
0,1,6,1,16,62110
0,1,6,1,17,79862
0,1,6,1,18,45393
0,1,6,1,19,51438
0,1,6,1,20,46390
0,1,6,1,21,45176
0,1,6,1,22,46933
0,1,6,1,23,44259
0,1,6,1,24,61566
0,1,6,1,25,85661
0,1,6,1,26,69794
0,1,6,1,27,73769
0,1,6,1,28,76406
0,1,6,1,29,80330
0,1,6,1,30,44883
0,1,6,1,31,66606
0,1,6,1,32,72569
0,1,6,1,33,84068
0,1,6,1,34,53049
0,1,6,1,35,64155
0,1,6,1,36,55150
0,1,6,1,37,46723
0,1,6,1,38,66482
0,1,6,1,39,75123
0,1,6,1,40,79619
0,1,6,1,41,52638
0,1,6,1,42,49075
0,1,6,1,43,50147
0,1,6,1,44,84520
0,1,6,1,45,71257
0,1,6,1,46,64676
0,1,6,1,47,53574
0,1,6,1,48,80347
0,1,6,1,49,74354
0,1,6,1,50,82595
0,1,6,2,1,40417
0,1,6,2,2,37723
0,1,6,2,3,46121
0,1,6,2,4,51427
0,1,6,2,5,56511
0,1,6,2,6,60959
0,1,6,2,7,54886
0,1,6,2,8,59388
0,1,6,2,9,52761
0,1,6,2,10,44270
0,1,6,2,11,36982
0,1,6,2,12,34739
0,1,6,2,13,50006
0,1,6,2,14,36026
0,1,6,2,15,44297
0,1,6,2,16,43477
0,1,6,2,17,55903
0,1,6,2,18,31775
0,1,6,2,19,36007
0,1,6,2,20,32473
0,1,6,2,21,31623
0,1,6,2,22,32853
0,1,6,2,23,30981
0,1,6,2,24,43096
0,1,6,2,25,59963
0,1,6,2,26,48856
0,1,6,2,27,51639
0,1,6,2,28,53484
0,1,6,2,29,56231
0,1,6,2,30,31418
0,1,6,2,31,46625
0,1,6,2,32,50798
0,1,6,2,33,58847
0,1,6,2,34,37134
0,1,6,2,35,44908
0,1,6,2,36,38605
0,1,6,2,37,32706
0,1,6,2,38,46538
0,1,6,2,39,52586
0,1,6,2,40,55733
0,1,6,2,41,36847
0,1,6,2,42,34352
0,1,6,2,43,35103
0,1,6,2,44,59164
0,1,6,2,45,49880
0,1,6,2,46,45273
0,1,6,2,47,37502
0,1,6,2,48,56243
0,1,6,2,49,52048
0,1,6,2,50,57817
0,1,6,3,1,17322
0,1,6,3,2,16167
0,1,6,3,3,19766
0,1,6,3,4,22040
0,1,6,3,5,24219
0,1,6,3,6,26125
0,1,6,3,7,23522
0,1,6,3,8,25452
0,1,6,3,9,22612
0,1,6,3,10,18973
0,1,6,3,11,15849
0,1,6,3,12,14888
0,1,6,3,13,21431
0,1,6,3,14,15440
0,1,6,3,15,18985
0,1,6,3,16,18633
0,1,6,3,17,23959
0,1,6,3,18,13618
0,1,6,3,19,15431
0,1,6,3,20,13917
0,1,6,3,21,13553
0,1,6,3,22,14080
0,1,6,3,23,13278
0,1,6,3,24,18470
0,1,6,3,25,25698
0,1,6,3,26,20938
0,1,6,3,27,22131
0,1,6,3,28,22922
0,1,6,3,29,24099
0,1,6,3,30,13465
0,1,6,3,31,19982
0,1,6,3,32,21771
0,1,6,3,33,25220
0,1,6,3,34,15915
0,1,6,3,35,19246
0,1,6,3,36,16545
0,1,6,3,37,14017
0,1,6,3,38,19945
0,1,6,3,39,22537
0,1,6,3,40,23886
0,1,6,3,41,15791
0,1,6,3,42,14722
0,1,6,3,43,15044
0,1,6,3,44,25356
0,1,6,3,45,21377
0,1,6,3,46,19403
0,1,6,3,47,16072
0,1,6,3,48,24104
0,1,6,3,49,22306
0,1,6,3,50,24779
0,1,7,1,1,57739
0,1,7,1,2,53891
0,1,7,1,3,65887
0,1,7,1,4,73467
0,1,7,1,5,80729
0,1,7,1,6,87084
0,1,7,1,7,78408
0,1,7,1,8,84840
0,1,7,1,9,75373
0,1,7,1,10,63243
0,1,7,1,11,52831
0,1,7,1,12,49627
0,1,7,1,13,71437
0,1,7,1,14,51465
0,1,7,1,15,63282
0,1,7,1,16,62110
0,1,7,1,17,79862
0,1,7,1,18,45393
0,1,7,1,19,51438
0,1,7,1,20,46390
0,1,7,1,21,45176
0,1,7,1,22,46933
0,1,7,1,23,44259
0,1,7,1,24,61566
0,1,7,1,25,85661
0,1,7,1,26,69794
0,1,7,1,27,73769
0,1,7,1,28,76406
0,1,7,1,29,80330
0,1,7,1,30,44883
0,1,7,1,31,66606
0,1,7,1,32,72569
0,1,7,1,33,84068
0,1,7,1,34,53049
0,1,7,1,35,64155
0,1,7,1,36,55150
0,1,7,1,37,46723
0,1,7,1,38,66482
0,1,7,1,39,75123
0,1,7,1,40,79619
0,1,7,1,41,52638
0,1,7,1,42,49075
0,1,7,1,43,50147
0,1,7,1,44,84520
0,1,7,1,45,71257
0,1,7,1,46,64676
0,1,7,1,47,53574
0,1,7,1,48,80347
0,1,7,1,49,74354
0,1,7,1,50,82595
0,1,7,2,1,40417
0,1,7,2,2,37723
0,1,7,2,3,46121
0,1,7,2,4,51427
0,1,7,2,5,56511
0,1,7,2,6,60959
0,1,7,2,7,54886
0,1,7,2,8,59388
0,1,7,2,9,52761
0,1,7,2,10,44270
0,1,7,2,11,36982
0,1,7,2,12,34739
0,1,7,2,13,50006
0,1,7,2,14,36026
0,1,7,2,15,44297
0,1,7,2,16,43477
0,1,7,2,17,55903
0,1,7,2,18,31775
0,1,7,2,19,36007
0,1,7,2,20,32473
0,1,7,2,21,31623
0,1,7,2,22,32853
0,1,7,2,23,30981
0,1,7,2,24,43096
0,1,7,2,25,59963
0,1,7,2,26,48856
0,1,7,2,27,51639
0,1,7,2,28,53484
0,1,7,2,29,56231
0,1,7,2,30,31418
0,1,7,2,31,46625
0,1,7,2,32,50798
0,1,7,2,33,58847
0,1,7,2,34,37134
0,1,7,2,35,44908
0,1,7,2,36,38605
0,1,7,2,37,32706
0,1,7,2,38,46538
0,1,7,2,39,52586
0,1,7,2,40,55733
0,1,7,2,41,36847
0,1,7,2,42,34352
0,1,7,2,43,35103
0,1,7,2,44,59164
0,1,7,2,45,49880
0,1,7,2,46,45273
0,1,7,2,47,37502
0,1,7,2,48,56243
0,1,7,2,49,52048
0,1,7,2,50,57817
0,1,7,3,1,17322
0,1,7,3,2,16167
0,1,7,3,3,19766
0,1,7,3,4,22040
0,1,7,3,5,24219
0,1,7,3,6,26125
0,1,7,3,7,23522
0,1,7,3,8,25452
0,1,7,3,9,22612
0,1,7,3,10,18973
0,1,7,3,11,15849
0,1,7,3,12,14888
0,1,7,3,13,21431
0,1,7,3,14,15440
0,1,7,3,15,18985
0,1,7,3,16,18633
0,1,7,3,17,23959
0,1,7,3,18,13618
0,1,7,3,19,15431
0,1,7,3,20,13917
0,1,7,3,21,13553
0,1,7,3,22,14080
0,1,7,3,23,13278
0,1,7,3,24,18470
0,1,7,3,25,25698
0,1,7,3,26,20938
0,1,7,3,27,22131
0,1,7,3,28,22922
0,1,7,3,29,24099
0,1,7,3,30,13465
0,1,7,3,31,19982
0,1,7,3,32,21771
0,1,7,3,33,25220
0,1,7,3,34,15915
0,1,7,3,35,19246
0,1,7,3,36,16545
0,1,7,3,37,14017
0,1,7,3,38,19945
0,1,7,3,39,22537
0,1,7,3,40,23886
0,1,7,3,41,15791
0,1,7,3,42,14722
0,1,7,3,43,15044
0,1,7,3,44,25356
0,1,7,3,45,21377
0,1,7,3,46,19403
0,1,7,3,47,16072
0,1,7,3,48,24104
0,1,7,3,49,22306
0,1,7,3,50,24779
0,2,1,1,1,46191
0,2,1,1,2,43113
0,2,1,1,3,52709
0,2,1,1,4,58773
0,2,1,1,5,64584
0,2,1,1,6,69667
0,2,1,1,7,62726
0,2,1,1,8,67872
0,2,1,1,9,60298
0,2,1,1,10,50595
0,2,1,1,11,42265
0,2,1,1,12,39702
0,2,1,1,13,57150
0,2,1,1,14,41172
0,2,1,1,15,50625
0,2,1,1,16,49688
0,2,1,1,17,63890
0,2,1,1,18,36314
0,2,1,1,19,41150
0,2,1,1,20,37112
0,2,1,1,21,36141
0,2,1,1,22,37546
0,2,1,1,23,35407
0,2,1,1,24,49253
